id	filename	md5	size	state
36b3d5c0-41f0-463c-b7a6-eddf2777e627	fa6ab323-bde2-4c1a-b188-449cf2c8a457.rna_seq.augmented_star_gene_counts.tsv	b7d24e9ad24bd853666d35cd7d85220a	4238606	released
02298f54-33c7-4d8b-8a3d-6c94613ab7b0	350e6b12-e28c-41b0-936e-1c7565a4dfde.rna_seq.augmented_star_gene_counts.tsv	d839daf165d3189930120ca270a676fa	4240486	released
3932c6ab-d9a3-4625-8910-f95a1ef5c80f	cfdabeff-7599-40e5-80e6-70289fa8ef17.rna_seq.augmented_star_gene_counts.tsv	41034a088a32daa39d66ce21a05d34c1	4238233	released
497d92ae-40cc-4184-9c78-bb6f1ae1fc15	9846ade8-aabc-4df6-9fbd-04c7b82391e0.rna_seq.augmented_star_gene_counts.tsv	3422866b736575a333d4ebd2d98b1fa4	4253306	released
392502e8-239b-4dd4-a289-eb7f9c426c71	d8a561d1-7013-42b9-ba4f-4f6b13bae428.rna_seq.augmented_star_gene_counts.tsv	0890de3d98da010fb50b5a12110a8887	4246688	released
890ce479-8022-417e-843f-4dcba9919124	c5c5d9b3-d252-4fc7-95ca-09b36abf2844.rna_seq.augmented_star_gene_counts.tsv	f2571b2fe0344c8561ceb53e9bf50add	4231937	released
0867513b-ed83-4714-ac04-626656162c44	9f7dd707-cb05-4b4b-beed-219d4bfad6dc.rna_seq.augmented_star_gene_counts.tsv	cb69e29478ca37cb6d0279e7e0d1037b	4214289	released
8cdd123b-6a39-45a3-bbd8-924f4e1b8a21	2fae8b47-d595-4df2-b4dd-58b6d18f17f3.rna_seq.augmented_star_gene_counts.tsv	591a2b90619a3d4534c39bb46cceba04	4224201	released
d6eb247c-64d6-44e8-9ca3-dbef4ff3d35c	40b656be-4cd1-4c91-86ee-108a707427e5.rna_seq.augmented_star_gene_counts.tsv	aeba3d0bbdbfed5a60039224b880f6dd	4230108	released
66bf9e5f-ce7a-4f9c-b75d-963dacf4d488	391b1815-6933-4a59-8653-fd7ca2d66f6a.rna_seq.augmented_star_gene_counts.tsv	288624592e60f93b8dc38788572098e9	4236422	released
8fc38950-4501-467a-9c0d-82fe974fd998	273ab13f-72d1-4558-a296-dd60bc20938d.rna_seq.augmented_star_gene_counts.tsv	14ca926b145e959d4849c31ad46c47fe	4230247	released
3ac56f77-e674-4963-8a0e-3afe253a1f13	7de92a6c-8ebb-41b4-864a-391f4be28981.rna_seq.augmented_star_gene_counts.tsv	146463228204b0d22169da37eaf58a34	4226027	released
